sim|population|distance|rating|states|counties|wfos|hospitals|hospitalbeds|mobileparks|mobilehomes|psubstations|plines|slon|slat|elon|elat
293|240|0.075|0|MN|27079|MPX|0|0|0|0|0|0|-93.5928|44.0404|-93.592|44.0414
297|512|5.9218|1|MN|27013,27161|MPX|0|0|0|0|0|0|-93.7066|44.0571|-93.6094|44.1068
300|928|1.7226|0|MN|27163|MPX|0|0|0|0|0|0|-92.8457|45.228|-92.8121|45.2359
300|1280|1.6211|0|MN|27139|MPX|0|0|0|0|0|0|-93.4064|44.6355|-93.3791|44.6487
300|736|0.4959|0|MN|27127|MPX|0|0|0|0|0|0|-94.9023|44.5722|-94.8951|44.5773
300|96|0.2348|0|MN|27079|MPX|0|0|0|0|0|0|-93.5566|44.4149|-93.5523|44.4163
300|320|5.5433|2|MN|27129,27173|MPX|0|0|0|0|0|0|-95.4992|44.7696|-95.3981|44.8055
305|1056|6.8053|1|MN|27037|MPX|0|0|0|0|1|1|-93.0291|44.6036|-92.9403|44.6792
306|64|0.5474|0|MN|27121|MPX|0|0|0|0|0|0|-95.6334|45.628|-95.6266|45.6344
309|96|0.358|0|MN|27173|MPX|0|0|0|0|0|0|-95.6487|44.7731|-95.6423|44.7756
309|128|2.0432|1|MN|27129,27143|MPX|0|0|0|0|1|0|-94.5397|44.704|-94.5027|44.7175
322|432|6.2303|2|MN|27099|ARX|0|0|1|75|0|0|-92.9115|43.834|-92.7942|43.8653
322|112|1.4793|1|MN|27173|MPX|0|0|0|0|1|0|-96.1695|44.7959|-96.149|44.8117
322|80|1.0479|0|MN|27097|MPX|0|0|0|0|0|0|-95.2501|43.6967|-95.2325|43.7049
322|48|0.785|0|MN|27101|FSD|0|0|0|0|0|0|-95.6357|44.0591|-95.62|44.0606
322|112|2.5702|2|MN|27151|MPX|0|0|0|0|1|2|-95.5506|45.2846|-95.5212|45.3155
325|64|0.1771|0|MN|27043|MPX|0|0|0|0|0|0|-93.7622|43.7034|-93.7603|43.7056
328|208|1.8594|1|MN|27019|MPX|0|0|0|0|0|0|-93.844|44.4879|-93.8196|44.5084
328|1360|5.283|4|MN|27145|MPX|0|0|0|0|0|0|-94.4869|45.7375|-94.4345|45.8046
328|64|0.3246|1|MN|27101|FSD|0|0|0|0|2|4|-96.0033|44.1243|-95.9981|44.1271
329|64|0.5445|1|MN|27063|FSD|0|0|0|0|0|0|-94.9816|43.5578|-94.9756|43.5644
334|1168|1.4011|1|MN|27013|MPX|0|0|4|150|2|4|-93.946|44.1378|-93.9223|44.1488
335|256|1.8023|0|MN|27093|MPX|0|0|0|0|0|0|-94.4417|45.0646|-94.413|45.0809
337|50048|5.0796|1|MN|27003,27123|MPX|0|0|5|325|0|0|-93.1521|45.1473|-93.0706|45.1931
338|64|1.564|0|MN|27127|MPX|0|0|0|0|0|0|-95.4467|44.3711|-95.4263|44.3884
340|96|1.5556|2|MN|27129|MPX|0|0|0|0|0|0|-94.767|44.7673|-94.7465|44.7844
340|128|3.8972|2|IA|19059|FSD|0|0|0|0|0|0|-95.198|43.4714|-95.1276|43.4954
340|160|1.6714|1|IA|19195|DMX|0|0|0|0|0|0|-93.4167|43.4627|-93.3836|43.4658
