sim,population,hospitals,mobilehomes,psubstations
834,39104,1,150,11
835,19216,1,75,15
836,45856,1,150,14
837,22160,1,25,11
838,3056,0,0,3
839,62144,1,125,17
840,60800,5,825,11
841,77344,2,925,17
842,16224,2,25,15
843,15072,2,25,6
844,8112,0,25,14
845,28336,5,300,6
846,11120,0,50,14
847,19760,0,0,8
848,15488,0,0,1
849,3952,0,0,1
850,6992,0,0,2
851,19920,0,325,12
852,95552,3,0,14
853,12944,1,250,16
854,50976,6,125,14
855,16864,0,175,10
856,6368,1,25,4
857,135424,6,775,41
858,2480,0,25,0
859,11280,0,0,12
860,11824,0,0,14
861,90080,4,175,24
862,16960,1,25,17
863,52064,2,675,40
864,22736,4,625,21
865,10944,2,0,12
866,9392,2,0,7
867,2208,0,25,1
868,41504,0,125,8
869,5536,0,0,7
870,16352,1,25,19
871,5904,0,0,5
872,1104,0,0,1
873,13536,0,100,3
874,2464,0,0,4
875,30784,0,100,5
876,15072,0,25,11
877,4384,2,125,6
878,18480,2,200,12
879,6288,0,25,8
880,41584,4,150,23
881,11712,0,50,6
882,30112,0,375,5
883,38272,2,575,22
884,30944,2,25,7
885,20976,1,25,5
886,6400,0,200,16
887,3392,0,75,9
888,6512,1,0,4
889,22128,1,125,18
890,11520,0,0,10
891,13312,0,0,3
892,12480,0,0,2
893,10560,1,0,3
894,14160,0,275,11
895,34240,0,75,8
896,6336,0,0,7
897,23552,2,100,10
898,93664,3,25,21
899,43808,2,275,15
900,15904,1,25,17
901,14992,2,175,13
902,4512,0,75,2
903,87808,6,475,15
904,20272,1,100,7
905,21424,0,225,30
906,13600,1,0,4
907,192752,9,750,33
908,4112,0,25,0
909,8064,0,0,12
910,8272,0,50,3
911,4624,0,0,5
912,2688,0,0,0
913,18160,0,150,16
914,5248,0,50,3
915,9344,2,0,12
916,14480,0,0,9
917,47024,0,75,9
918,28080,1,150,22
919,2832,0,0,4
920,9536,0,400,5
921,7376,1,0,6
922,76432,8,175,12
923,27264,3,50,10
924,4032,0,0,2
925,4656,1,275,3
926,11408,3,125,6
927,27360,2,150,20
928,80816,0,425,15
929,34464,3,250,23
930,4416,1,0,1
931,5520,0,0,2
932,18528,0,625,5
933,1776,0,0,7
934,12656,0,0,7
935,52240,0,200,9
936,4752,0,0,3
937,19984,0,200,9
938,18320,3,25,14
939,352,0,0,1
940,4640,0,0,3
941,68416,0,325,7
942,68768,1,200,6
943,7088,1,0,9
944,74416,1,50,26
945,21680,2,100,7
946,23424,0,150,6
947,27696,0,100,12
948,60720,6,25,13
949,13216,0,25,11
950,58496,1,100,13
951,51888,0,100,18
952,3552,1,25,7
953,7488,0,0,5
954,33760,1,0,13
955,21312,0,25,3
956,14640,1,25,20
957,3152,1,250,2
958,28656,0,125,18
959,14416,0,25,8
960,37136,3,725,10
961,14032,1,175,6
962,1808,1,25,10
963,2640,1,0,3
964,12720,1,225,8
965,15584,0,50,8
966,7136,1,75,11
967,5680,0,25,1
968,62464,1,250,5
969,1728,0,0,5
970,13424,2,125,14
971,23952,1,250,18
972,8864,1,125,1
973,11024,0,100,7
974,60896,3,225,19
975,14208,3,75,10
976,11216,1,25,8
977,23168,1,200,3
978,9888,0,125,3
979,5184,1,0,7
980,13840,0,125,11
981,7280,0,0,9
982,7616,0,50,2
983,48368,1,175,26
984,13184,0,175,8
985,7152,0,0,4
986,3472,0,0,1
987,2928,0,0,1
988,20464,1,25,9
989,6576,0,100,6
990,100192,3,0,13
991,12768,0,250,7
992,101808,8,250,12
993,3840,0,0,4
994,14880,0,0,4
995,7200,0,0,6
996,10928,0,325,11
997,6144,0,25,4
998,13504,0,125,12
999,4816,0,0,6
1000,10032,0,25,9
1001,60896,3,650,15
1002,9408,1,0,4
1003,38016,0,225,12
1004,6432,2,125,5
1005,27408,1,0,28
1006,37120,0,200,10
1007,8400,0,200,16
1008,27984,0,75,8
1009,16880,1,200,10
1010,142496,4,1050,39
1011,4688,0,25,1
1012,15440,0,500,11
1013,22832,3,125,7
1014,61920,2,650,20
1015,14336,3,225,13
1016,29760,0,75,10
1017,3360,0,50,5
1018,40128,8,100,25
1019,44192,1,600,10
1020,58272,5,825,9
1021,29296,1,250,4
1022,9312,0,0,4
1023,14000,0,0,4
1024,64624,8,150,19
1025,8000,0,0,4
1026,8800,0,0,3
1027,12752,2,275,14
1028,38496,2,650,6
1029,29040,3,350,9
1030,10016,1,0,8
1031,22416,0,25,3
1032,4160,0,100,3
1033,23792,2,675,3
1034,84368,4,1000,22
1035,155184,10,1600,30
1036,9568,3,300,12
1037,22672,1,175,14
1038,15200,0,0,4
1039,7328,0,0,2
1040,64720,2,150,10
1041,11248,0,25,5
1042,11392,1,25,12
1043,15056,0,0,6
1044,6064,0,0,5
1045,37712,2,50,9
1046,11280,0,0,2
1047,31792,1,125,16
1048,3152,0,25,8
1049,9696,0,0,4
1050,31008,3,50,12
1051,23456,0,50,7
1052,9824,1,0,9
1053,12448,0,25,10
1054,6656,0,0,2
1055,89888,4,175,11
1056,3440,0,0,2
1057,76320,0,75,10
1058,4448,1,25,7
1059,15152,0,125,17
1060,5024,0,0,1
1061,9984,0,75,3
1062,6160,0,75,3
1063,4704,0,0,3
1064,19312,1,0,5
1065,17536,0,25,11
1066,27664,1,600,8
1067,47904,6,150,22
1068,11008,2,25,11
1069,94832,6,375,18
1070,16560,1,300,17
1071,69712,2,75,23
1072,49184,1,225,6
1073,5024,0,0,4
1074,12880,1,125,2
1075,528,0,0,0
1076,18512,1,0,1
1077,21840,0,0,11
1078,14080,1,125,14
1079,21872,3,250,13
1080,128016,1,575,27
1081,56304,1,125,9
1082,6544,1,75,6
1083,25488,1,25,23
1084,8416,2,100,9
1085,6736,0,0,3
1086,21088,0,100,4
1087,13328,0,125,6
1088,1824,0,0,3
1089,15776,0,25,8
1090,17136,2,50,13
1091,2944,1,50,3
1092,34448,0,200,12
1093,52128,4,175,17
1094,11536,0,0,10
1095,47616,2,525,30
1096,52928,2,225,18
1097,33136,0,75,15
1098,3504,1,0,2
1099,18880,0,0,14
1100,5728,0,175,1
1101,14592,0,25,11
1102,62272,0,775,13
1103,127184,2,325,19
1104,18288,1,100,11
1105,8208,2,25,3
1106,19072,0,0,9
1107,1616,0,25,2
1108,6416,0,0,10
1109,13632,2,125,14
1110,149696,3,325,15
1111,7344,0,175,15
1112,44784,0,1125,18
1113,4048,1,0,4
1114,10560,0,0,8
1115,19616,0,75,10
1116,28496,1,50,6
1117,151088,7,850,27
1118,52656,3,0,10
1119,2160,0,100,6
1120,5168,0,25,6
1121,17680,0,75,15
1122,29632,1,150,17
1123,15760,2,100,4
1124,115008,7,1200,14
1125,20448,1,25,5
1126,26336,0,150,7
1127,131360,4,550,29
1128,6384,0,50,5
1129,6832,1,0,0
1130,2496,0,0,0
1131,28784,1,400,19
1132,94432,4,450,12
1133,26128,0,100,7
1134,9984,0,0,4
1135,4096,0,0,1
1136,2688,3,50,16
1137,79936,0,850,15
1138,6800,0,0,3
1139,12704,0,100,3
1140,17904,0,50,11
1141,3120,0,0,1
1142,15376,0,75,6
1143,76752,6,200,15
1144,1072,0,0,0
1145,15264,1,250,22
1146,34160,0,50,12
1147,1536,0,0,3
1148,14480,0,150,9
1149,24176,4,325,22
1150,5360,1,50,8
1151,21744,4,200,15
1152,51264,1,550,8
1153,12272,2,300,10
1154,3072,0,25,1
1155,800,0,0,2
1156,8672,1,50,6
1157,46800,0,375,7
1158,3984,0,0,7
1159,15168,1,25,11
1160,54096,1,350,14
1161,3840,0,75,9
1162,7552,0,150,4
1163,48272,1,300,26
1164,6624,0,0,5
1165,110608,7,450,31
1166,38624,1,150,11
1167,29504,1,250,9
1168,11584,1,125,12
1169,86928,1,350,16
1170,23712,1,0,4
1171,13424,0,125,1
1172,50384,2,50,12
1173,18176,4,0,13
1174,18512,6,25,17
1175,189984,11,700,34
1176,13520,0,0,2
1177,18576,0,150,8
1178,25920,2,150,10
1179,4592,0,0,1
1180,10560,3,0,7
1181,33216,5,200,20
1182,2944,0,0,9
1183,27632,2,700,13
1184,20672,3,500,16
1185,60944,2,25,14
1186,35056,1,150,15
1187,13840,2,0,18
1188,38496,2,200,13
1189,5408,0,25,3
1190,63424,0,75,23
1191,4096,0,0,0
1192,5600,0,250,6
1193,7568,0,25,7
1194,2016,0,50,1
1195,8128,0,425,4
1196,2176,0,0,4
1197,11616,1,0,11
1198,10256,2,150,10
1199,110640,9,350,36
1200,35184,0,50,13
1201,18848,0,0,6
1202,107456,4,275,21
1203,6912,0,0,6
1204,5088,0,0,4
1205,22528,1,0,9
1206,17344,0,25,13
1207,17504,0,125,7
1208,81008,2,125,20
1209,24880,1,25,6
1210,6000,2,250,4
1211,65024,1,500,19
1212,8208,0,25,10
1213,7520,1,0,1
1214,11296,0,0,5
1215,22896,0,0,6
1216,90640,1,225,22
1217,80752,1,325,36
1218,896,0,0,7
1219,113520,5,975,12
1220,19600,0,225,5
1221,74000,3,350,11
1222,6304,0,0,9
1223,42992,0,125,27
1224,25424,0,75,8
1225,9408,0,0,10
1226,1456,0,0,4
1227,7520,0,0,8
1228,4816,0,0,2
1229,1936,0,25,11
1230,99120,5,50,25
1231,3024,1,0,8
1232,10384,0,0,8
1233,27584,0,25,9
1234,49168,0,75,5
1235,16912,1,0,10
1236,43904,0,0,9
1237,10832,0,75,7
1238,5216,0,50,5
1239,2368,1,50,1
1240,7232,0,75,3
1241,3536,0,50,1
